"","FACE","TERM_FLAG","GENDER","AGE","MARSTAT","EDUCATION","SAGE","SEDUCATION","NUMHH","INCOME","CHARITY","logFACE","logINCOME","logCHARITY","FACEratio","AGEdiff"
"175",100000,1,1,40,0,8,0,0,1,36000,0,11.5129254649702,10.4912742174382,0,2.77777777777778,0
"176",50000,1,0,59,0,15,0,0,1,40000,500,10.8197782844103,10.5966347330961,6.21460809842219,1.25,0
"177",87000,1,1,65,1,14,61,12,2,79000,3100,11.3736633976367,11.2772031314492,8.03915739047324,1.10126582278481,4
"183",125000,1,1,55,1,13,49,12,4,82000,1500,11.7360690162844,11.3144745262464,7.3132203870903,1.52439024390244,6
"184",125000,1,1,41,1,12,40,14,4,96000,1700,11.7360690162844,11.47210347045,7.43838353004431,1.30208333333333,1
"186",160000,1,1,52,1,14,36,17,2,180000,1000,11.982929094216,12.1007121298723,6.90775527898214,0.888888888888889,16
"187",5000,1,1,57,1,16,54,16,2,394000,6100,8.51719319141624,12.8841061882801,8.7160440501614,0.0126903553299492,3
"190",50000,1,1,35,1,14,26,12,5,34000,0,10.8197782844103,10.4341158035983,0,1.47058823529412,9
"192",250000,1,1,61,1,17,60,16,2,145000,860,12.4292161968444,11.8844890214027,6.75693238924755,1.72413793103448,1
"194",5000,1,1,37,1,12,62,14,3,47000,3000,8.51719319141624,10.7579028806922,8.00636756765025,0.106382978723404,25
"195",100000,1,1,27,1,12,26,8,5,25000,0,11.5129254649702,10.1266311038503,0,4,1
"196",10000,1,1,66,1,14,63,12,2,112000,0,9.21034037197618,11.6262541502772,0,0.0892857142857143,3
"200",20000,1,1,35,1,12,32,12,5,65000,0,9.90348755253613,11.0821425488778,0,0.307692307692308,3
"201",5250000,1,1,60,1,16,59,17,2,30000,42000,15.4737386345678,10.3089526606443,10.6454248972655,175,1
"202",400000,1,1,45,1,16,45,16,4,185000,12000,12.8992198260901,12.1281111040605,9.39266192877014,2.16216216216216,0
"204",50000,1,1,59,1,17,62,13,2,173000,1000,10.8197782844103,12.0610468734799,6.90775527898214,0.289017341040462,3
"205",400000,1,1,82,1,16,78,14,2,420000,69000,12.8992198260901,12.9480099902596,11.1418617835794,0.952380952380952,4
"206",5000,1,0,59,0,15,0,0,1,25000,0,8.51719319141624,10.1266311038503,0,0.2,0
"207",500000,1,1,28,1,16,30,14,4,38000,4000,13.1223633774043,10.5453414387085,8.29404964010203,13.1578947368421,2
"209",40000,1,0,61,0,12,0,0,2,28000,0,10.5966347330961,10.2399597891573,0,1.42857142857143,0
"211",3500000,1,1,51,1,17,46,16,4,250000,1000,15.0682735264596,12.4292161968444,6.90775527898214,14,5
"212",200000,1,1,50,1,14,43,16,3,126000,5000,12.2060726455302,11.7440371859336,8.51719319141624,1.58730158730159,7
"213",300000,1,1,50,1,14,49,16,2,88000,700,12.6115377536383,11.3850920934603,6.5510803350434,3.40909090909091,1
"214",25000,1,1,52,1,16,51,14,5,95000,690,10.1266311038503,11.4616321705827,6.5366915975913,0.263157894736842,1
"215",5000000,1,1,32,1,16,31,16,3,138000,1000,15.4249484703984,11.8350089641393,6.90775527898214,36.231884057971,1
"220",284000,1,1,60,1,14,59,16,2,104000,800,12.5567295171433,11.5521461781235,6.68461172766793,2.73076923076923,1
"221",50000,1,1,27,1,11,26,14,4,55000,1000,10.8197782844103,10.9150884642146,6.90775527898214,0.909090909090909,1
"222",5000,1,0,67,0,14,0,0,3,5000,0,8.51719319141624,8.51719319141624,0,1,0
"226",35000,1,1,70,1,17,71,16,2,20000,0,10.4631033404715,9.90348755253613,0,1.75,1
"227",10000,1,0,58,0,12,0,0,1,36000,0,9.21034037197618,10.4912742174382,0,0.277777777777778,0
"228",247000,1,1,33,0,17,0,0,1,76000,0,12.4171436156101,11.2384886192685,0,3.25,0
"229",52000,1,1,60,1,13,58,14,2,51000,3100,10.8589989975636,10.8395809117065,8.03915739047324,1.01960784313725,2
"230",100000,1,1,36,1,10,45,12,4,44000,0,11.5129254649702,10.6919449129004,0,2.27272727272727,9
"232",35000,1,1,66,1,13,63,12,2,19000,0,10.4631033404715,9.85219425814858,0,1.84210526315789,3
"235",200000,1,1,44,1,14,44,14,2,60000,0,12.2060726455302,11.0020998412042,0,3.33333333333333,0
"236",2100000,1,1,43,1,14,38,16,5,497000,34000,14.5574479026937,13.1163453050788,10.4341158035983,4.22535211267606,5
"237",15000,1,0,37,0,13,0,0,3,17000,0,9.61580548008435,9.74096862303835,0,0.882352941176471,0
"238",23000,1,1,41,0,12,0,0,1,18000,0,10.0432494949113,9.7981270368783,0,1.27777777777778,0
"239",9500,1,0,62,0,17,0,0,1,61000,2800,9.15904707758863,11.0186291431554,7.9373746961633,0.155737704918033,0
"242",50000,1,0,47,0,16,0,0,3,34000,0,10.8197782844103,10.4341158035983,0,1.47058823529412,0
"244",60000,1,0,53,0,16,0,0,1,63000,500,11.0020998412042,11.0508900053737,6.21460809842219,0.952380952380952,0
"245",10000,1,1,77,1,10,65,9,2,4000,0,9.21034037197618,8.29404964010203,0,2.5,12
"247",500000,1,1,46,1,17,43,15,4,320000,5000,13.1223633774043,12.6760762747759,8.51719319141624,1.5625,3
"250",30000,1,1,47,1,15,48,17,3,100000,1200,10.3089526606443,11.5129254649702,7.09007683577609,0.3,1
"251",40000,1,0,51,0,16,0,0,1,42000,0,10.5966347330961,10.6454248972655,0,0.952380952380952,0
"252",3000,1,1,43,1,15,43,12,4,52000,1000,8.00636756765025,10.8589989975636,6.90775527898214,0.0576923076923077,0
"253",250000,1,1,55,1,14,48,13,2,54000,100000,12.4292161968444,10.8967393255464,11.5129254649702,4.62962962962963,7
"254",1850000,1,1,46,1,16,45,16,5,60000,1200,14.4306961970545,11.0020998412042,7.09007683577609,30.8333333333333,1
"256",50000,1,1,69,1,12,67,14,2,4000,2600,10.8197782844103,8.29404964010203,7.86326672400957,12.5,2
"261",150000,1,0,43,0,17,0,0,1,110000,5000,11.9183905730784,11.6082356447746,8.51719319141624,1.36363636363636,0
"263",50000,1,0,24,0,16,0,0,2,15000,0,10.8197782844103,9.61580548008435,0,3.33333333333333,0
"266",100000,1,1,38,1,17,34,16,5,50000,2000,11.5129254649702,10.8197782844103,7.60090245954208,2,4
"267",50000,1,1,62,1,17,59,17,2,310000,2800,10.8197782844103,12.6443275764613,7.9373746961633,0.161290322580645,3
"268",72000,1,0,45,0,17,0,0,1,65000,500,11.1844213979982,11.0821425488778,6.21460809842219,1.10769230769231,0
"269",120000,1,0,35,0,17,0,0,1,54000,600,11.6952470217642,10.8967393255464,6.39692965521615,2.22222222222222,0
"270",220000,1,1,50,1,12,52,14,3,92000,800,12.3013828253345,11.4295438560312,6.68461172766793,2.39130434782609,2
"271",200000,1,1,34,1,12,33,16,4,110000,500,12.2060726455302,11.6082356447746,6.21460809842219,1.81818181818182,1
"272",800000,1,1,42,1,14,40,12,6,254000,30000,13.5923670066501,12.4450895460007,10.3089526606443,3.1496062992126,2
"274",1100000,1,1,37,1,16,35,16,6,110000,1000,13.9108207377686,11.6082356447746,6.90775527898214,10,2
"275",2500,1,1,73,1,17,70,17,2,55000,25000,7.82404601085629,10.9150884642146,10.1266311038503,0.0454545454545455,3
"277",500000,1,0,46,1,16,47,0,1,157000,3600,13.1223633774043,11.9640010843304,8.1886891244442,3.18471337579618,1
"279",150000,1,1,48,0,16,0,0,1,72000,0,11.9183905730784,11.1844213979982,0,2.08333333333333,0
"280",150000,1,1,67,1,17,69,15,2,140000,5000,11.9183905730784,11.8493977015914,8.51719319141624,1.07142857142857,2
"281",23000,1,1,47,1,15,49,13,2,50000,0,10.0432494949113,10.8197782844103,0,0.46,2
"282",50000,1,1,60,1,12,58,12,2,13000,0,10.8197782844103,9.47270463644367,0,3.84615384615385,2
"283",4000000,1,1,49,1,17,35,16,4,2750000,20000,15.2018049190842,14.8271114696428,9.90348755253613,1.45454545454545,14
"284",300000,1,0,48,0,16,0,0,2,61000,5000,12.6115377536383,11.0186291431554,8.51719319141624,4.91803278688525,0
"285",100000,1,1,69,1,17,61,12,2,750000,20000,11.5129254649702,13.5278284855125,9.90348755253613,0.133333333333333,8
"286",2500,1,0,72,0,12,0,0,1,5000,1400,7.82404601085629,8.51719319141624,7.24422751560335,0.5,0
"287",25000,1,0,25,0,16,0,0,1,33000,0,10.1266311038503,10.4042628404486,0,0.757575757575758,0
"289",5000000,1,1,51,1,14,51,14,4,190000,50000,15.4249484703984,12.1547793511426,10.8197782844103,26.3157894736842,0
"291",425000,1,1,55,1,12,48,12,4,44000,0,12.9598444479066,10.6919449129004,0,9.65909090909091,7
"295",580000,1,1,54,1,17,50,12,3,60000,3000,13.2707833825226,11.0020998412042,8.00636756765025,9.66666666666667,4
"297",300000,1,1,39,1,16,40,16,3,130000,1000,12.6115377536383,11.7752897294377,6.90775527898214,2.30769230769231,1
"299",335000,1,1,39,1,13,43,14,4,66000,0,12.7218858108072,11.0974100210086,0,5.07575757575758,4
"302",820000,1,1,39,1,17,35,17,3,247000,0,13.6170596192404,12.4171436156101,0,3.31983805668016,4
"303",10000,1,1,68,1,13,66,10,2,4000,500,9.21034037197618,8.29404964010203,6.21460809842219,2.5,2
"304",20000,1,0,22,0,12,0,0,2,10000,0,9.90348755253613,9.21034037197618,0,2,0
"305",400000,1,1,54,1,16,51,16,3,140000,3500,12.8992198260901,11.8493977015914,8.1605182474775,2.85714285714286,3
"307",800,1,1,64,1,15,51,15,2,250000,5000,6.68461172766793,12.4292161968444,8.51719319141624,0.0032,13
"314",100000,1,1,36,0,14,0,0,2,26000,550,11.5129254649702,10.1658518170036,6.30991827822652,3.84615384615385,0
"316",100000,1,1,42,1,12,40,12,5,73000,0,11.5129254649702,11.1982147201305,0,1.36986301369863,2
"317",2000000,1,1,49,1,16,47,16,3,950000,20000,14.5086577385242,13.7642172635767,9.90348755253613,2.10526315789474,2
"319",183000,1,1,58,1,12,48,12,2,50000,0,12.1172414318236,10.8197782844103,0,3.66,10
"322",50000,1,1,61,0,12,0,0,1,13000,0,10.8197782844103,9.47270463644367,0,3.84615384615385,0
"324",500000,1,1,38,1,12,39,12,4,49000,0,13.1223633774043,10.7995755770928,0,10.2040816326531,1
"326",1000000,1,1,47,1,17,48,14,4,389000,11000,13.8155105579643,12.8713346226006,9.30565055178051,2.5706940874036,1
"327",20000,1,1,54,1,13,52,14,4,85000,0,9.90348755253613,11.3504065354725,0,0.235294117647059,2
"328",400000,1,1,59,1,17,58,17,2,110000,5000,12.8992198260901,11.6082356447746,8.51719319141624,3.63636363636364,1
"329",3000000,1,1,52,1,17,48,16,5,310000,21000,14.9141228466324,12.6443275764613,9.95227771670556,9.67741935483871,4
"331",20000,1,0,58,0,14,0,0,1,24000,500,9.90348755253613,10.0858091093301,6.21460809842219,0.833333333333333,0
"335",1000000,1,1,38,1,17,38,17,2,275000,1000,13.8155105579643,12.5245263766487,6.90775527898214,3.63636363636364,0
"336",25000,1,0,30,0,14,0,0,4,36000,0,10.1266311038503,10.4912742174382,0,0.694444444444444,0
"337",1500000,1,1,61,1,17,57,17,3,200000,15000,14.2209756660724,12.2060726455302,9.61580548008435,7.5,4
"338",2000000,1,1,50,1,17,46,16,3,207000,3700,14.5086577385242,12.2404740722475,8.21608809863232,9.66183574879227,4
"346",2000000,1,1,55,1,17,37,17,4,600000,60000,14.5086577385242,13.3046849341983,11.0020998412042,3.33333333333333,18
"348",2100000,1,1,42,1,17,43,17,4,157000,123000,14.5574479026937,11.9640010843304,11.7199396343546,13.3757961783439,1
"351",126000,1,1,42,1,14,37,12,5,85000,0,11.7440371859336,11.3504065354725,0,1.48235294117647,5
"352",110000,1,1,23,1,12,24,14,4,61000,600,11.6082356447746,11.0186291431554,6.39692965521615,1.80327868852459,1
"355",170000,1,1,33,1,12,20,12,4,34000,0,12.0435537160324,10.4341158035983,0,5,13
"356",1000000,1,1,31,1,17,29,12,3,60000,1000,13.8155105579643,11.0020998412042,6.90775527898214,16.6666666666667,2
"357",750000,1,1,56,1,17,55,14,2,36000,15000,13.5278284855125,10.4912742174382,9.61580548008435,20.8333333333333,1
"360",2130000,1,1,48,1,17,49,16,4,260,27000,14.5716325376856,5.56068163101553,10.2035921449865,8192.30769230769,1
"361",30000,1,1,64,1,10,64,12,2,32000,600,10.3089526606443,10.3734911817819,6.39692965521615,0.9375,0
"362",75000,1,1,52,1,12,51,15,3,29000,0,11.2252433925184,10.2750511089686,0,2.58620689655172,1
"363",130000,1,1,41,1,12,44,12,5,63000,750,11.7752897294377,11.0508900053737,6.62007320653036,2.06349206349206,3
"364",150000,1,1,57,1,14,57,14,2,95000,0,11.9183905730784,11.4616321705827,0,1.57894736842105,0
"365",6000000,1,1,74,1,16,67,16,2,775000,150000,15.6072700271923,13.5606183083355,11.9183905730784,7.74193548387097,7
"367",50000,1,1,37,0,16,0,0,1,39000,0,10.8197782844103,10.5713169251118,0,1.28205128205128,0
"369",1500000,1,1,63,1,17,60,16,2,1450000,35000,14.2209756660724,14.1870741143968,10.4631033404715,1.03448275862069,3
"371",125000,1,1,38,1,12,42,16,8,27000,500,11.7360690162844,10.2035921449865,6.21460809842219,4.62962962962963,4
"377",100000,1,1,30,1,14,29,16,4,42000,800,11.5129254649702,10.6454248972655,6.68461172766793,2.38095238095238,1
"378",75000,1,0,56,0,14,0,0,4,25000,0,11.2252433925184,10.1266311038503,0,3,0
"380",10000,1,1,40,0,16,0,0,1,95000,7000,9.21034037197618,11.4616321705827,8.85366542803745,0.105263157894737,0
"381",500000,1,1,45,1,14,42,17,4,115000,0,13.1223633774043,11.6526874073454,0,4.34782608695652,3
"382",25000,1,1,44,0,14,0,0,1,30000,0,10.1266311038503,10.3089526606443,0,0.833333333333333,0
"383",25000,1,1,52,1,12,46,12,2,56000,500,10.1266311038503,10.9331069697173,6.21460809842219,0.446428571428571,6
"384",10000,1,1,48,1,11,50,13,2,55000,0,9.21034037197618,10.9150884642146,0,0.181818181818182,2
"386",11000,1,0,42,0,13,0,0,2,35000,0,9.30565055178051,10.4631033404715,0,0.314285714285714,0
"388",10000,1,0,61,0,17,0,0,2,40000,3600,9.21034037197618,10.5966347330961,8.1886891244442,0.25,0
"390",1250000,1,1,44,1,17,41,17,4,206000,2500,14.0386541092785,12.2356314477717,7.82404601085629,6.06796116504854,3
"393",100000,1,1,59,1,16,63,14,2,260,680,11.5129254649702,5.56068163101553,6.52209279817015,384.615384615385,4
"394",1440000,1,1,42,1,16,39,13,4,111000,3000,14.1801536715522,11.6172854802945,8.00636756765025,12.972972972973,3
"395",100000,1,0,29,0,16,0,0,1,27000,0,11.5129254649702,10.2035921449865,0,3.7037037037037,0
"398",250000,1,1,41,1,16,42,16,2,148000,1000,12.4292161968444,11.9049675527463,6.90775527898214,1.68918918918919,1
"405",2000000,1,1,56,1,16,55,16,2,1110000,5500,14.5086577385242,13.9198705732885,8.61250337122056,1.8018018018018,1
"408",5000000,1,1,26,1,16,23,16,3,3980000,259000,15.4249484703984,15.1967923772606,12.4645833406817,1.25628140703518,3
"409",100000,1,1,30,1,12,27,14,3,75000,0,11.5129254649702,11.2252433925184,0,1.33333333333333,3
"411",400000,1,1,61,1,17,64,14,2,17000,3500,12.8992198260901,9.74096862303835,8.1605182474775,23.5294117647059,3
"412",225000,1,1,38,1,12,39,13,6,78000,0,12.3238556811866,11.2644641056717,0,2.88461538461538,1
"413",450000,1,1,49,1,16,35,16,4,435000,35000,13.0170028617465,12.9831013100708,10.4631033404715,1.03448275862069,14
"414",50000,1,1,56,1,14,52,14,3,2000,1500,10.8197782844103,7.60090245954208,7.3132203870903,25,4
"416",1800000,1,1,61,1,14,59,13,2,114000,51000,14.4032972228664,11.6439537273766,10.8395809117065,15.7894736842105,2
"421",10000000,1,1,62,1,13,61,12,2,72000,150000,16.1180956509583,11.1844213979982,11.9183905730784,138.888888888889,1
"424",10000,1,1,39,1,17,43,16,3,85000,1200,9.21034037197618,11.3504065354725,7.09007683577609,0.117647058823529,4
"425",250000,1,0,40,0,16,0,0,3,25000,2500,12.4292161968444,10.1266311038503,7.82404601085629,10,0
"427",2600,1,1,20,1,14,19,14,2,500,0,7.86326672400957,6.21460809842219,0,5.2,1
"428",50000,1,0,44,1,16,44,0,1,35000,0,10.8197782844103,10.4631033404715,0,1.42857142857143,0
"429",98000,1,1,47,0,12,0,0,2,21000,0,11.4927227576527,9.95227771670556,0,4.66666666666667,0
"430",2500000,1,1,67,1,16,66,10,2,3000,141000,14.7318012898384,8.00636756765025,11.8565151693603,833.333333333333,1
"432",140000,1,0,46,0,11,0,0,1,38000,0,11.8493977015914,10.5453414387085,0,3.68421052631579,0
"433",85000,1,0,27,0,16,0,0,2,8000,0,11.3504065354725,8.98719682066197,0,10.625,0
"434",50000,1,1,39,1,12,40,12,5,47000,0,10.8197782844103,10.7579028806922,0,1.06382978723404,1
"435",10000,1,1,46,1,12,41,12,2,45000,0,9.21034037197618,10.7144177687525,0,0.222222222222222,5
"440",91000,1,1,30,1,12,31,12,5,50000,0,11.418614785499,10.8197782844103,0,1.82,1
"442",8500000,1,1,56,1,17,55,16,2,10000,41000,15.9555767214605,9.21034037197618,10.6213273456864,850,1
